molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"Molecule  1716",0,1,0,1,1,8,1,-2,300.354,5.005,565.651,359.053,206.597,0.000,0.000,1000.303,2.250,5.750,0.0250434,0.0152479,0.8551407,28.741,9.491,15.877,11.232,-0.918,-1.995,-1.307,-1.420,4.681,-1.404,3.199,-6.622,9.851,-0.659,5,-0.593,2,33.565,0.000,20.971,138.659,7,0,6,0,6,6,21,1,0.001
"Molecule  1717",0,1,0,1,1,8,2,-2,344.364,10.055,622.703,409.265,213.438,0.000,0.000,1098.989,2.250,7.750,0.0919990,0.0186686,0.8270777,32.691,10.425,19.222,13.321,-1.144,-2.399,-1.438,-1.874,4.096,-1.600,2.722,-6.748,9.966,-0.371,5,-0.693,2,31.206,0.000,20.103,164.041,9,0,6,0,6,6,24,1,0.000
"Molecule  1718",0,1,0,1,1,8,2,-2,372.417,3.713,688.834,453.722,235.112,0.000,0.000,1225.557,2.250,7.750,0.0112478,0.0168764,0.8040317,37.756,11.796,19.940,14.538,-0.548,-3.066,-1.971,-2.247,2.037,-1.945,1.632,-7.147,10.123,-0.167,5,-0.404,1,29.266,0.000,32.404,174.153,9,0,6,0,6,6,26,1,0.000
"Molecule  1719",1,1,0,1,1,8,3,-2,428.438,2.232,727.410,456.132,271.277,0.000,0.000,1313.927,2.250,10.250,0.0037930,0.0211366,0.7975665,41.293,12.901,22.605,16.914,-1.250,-3.104,-2.111,-2.352,1.027,-2.363,0.695,-7.814,10.229,0.136,5,-0.631,1,6.876,0.000,26.658,202.450,11,1,7,0,7,7,30,1,0.000
"Molecule  1720",0,1,0,1,1,9,1,-2,260.289,1.888,519.664,336.723,182.941,0.000,0.000,887.806,2.250,5.750,0.0040154,0.0165973,0.8596486,23.597,8.247,13.623,11.234,-1.429,-0.874,-0.594,-1.347,6.941,-1.231,5.591,-6.090,9.862,-0.491,5,-0.904,2,33.640,0.000,27.655,130.859,7,0,0,0,0,0,18,1,0.028
"Molecule  1721",0,1,0,1,1,9,2,-2,318.326,3.532,595.966,393.680,202.285,0.000,0.000,1059.676,2.250,7.750,0.0117728,0.0195062,0.8434494,30.475,9.996,17.305,13.060,-1.286,-1.769,-0.982,-1.609,5.098,-1.476,3.541,-6.446,9.880,-0.155,5,-0.813,2,32.075,0.000,21.450,164.126,9,0,0,0,0,0,22,1,0.002
"Molecule  1722",0,1,0,1,1,9,2,-2,330.337,4.225,595.130,408.734,186.396,0.000,0.000,1048.683,2.250,7.750,0.0170184,0.0195335,0.8387823,30.035,9.769,17.124,13.218,-1.247,-1.636,-1.180,-1.685,6.750,-1.347,5.153,-6.153,10.000,-0.067,5,-0.844,2,34.488,0.000,25.066,157.155,9,0,5,0,5,5,23,1,0.005
"Molecule  1723",0,1,0,1,1,9,2,-2,344.364,2.137,601.026,403.025,198.001,0.000,0.000,1086.304,2.250,7.750,0.0042032,0.0193419,0.8503003,31.541,10.232,17.585,12.114,-1.090,-2.264,-1.438,-1.499,7.046,-1.406,3.918,-6.367,10.048,-0.482,5,-0.743,2,35.739,0.000,8.896,162.445,9,0,6,0,6,6,24,1,0.001
"Molecule  1724",0,1,0,1,1,9,2,-2,358.391,2.339,600.831,392.885,207.946,0.000,0.000,1115.660,2.250,7.750,0.0049048,0.0193482,0.8658324,32.716,10.609,18.120,13.486,-0.967,-1.677,-1.704,-1.247,4.105,-1.430,3.099,-6.550,9.927,-0.385,5,-0.658,2,32.258,0.000,26.529,164.762,9,0,6,0,6,6,25,1,0.002
"Molecule  1725",1,1,0,1,1,9,3,-2,442.465,6.924,694.753,432.361,262.392,0.000,0.000,1318.858,2.250,10.250,0.0363483,0.0221302,0.8371435,40.848,12.803,22.990,14.871,-1.112,-3.175,-2.381,-1.711,1.893,-2.077,0.857,-7.554,10.116,0.224,5,-0.616,1,12.432,0.000,3.906,201.333,11,1,7,0,7,7,31,1,0.000
"Molecule  1726",0,1,0,1,1,9,1,-1,274.316,5.553,512.578,347.386,165.191,0.000,0.000,918.055,2.250,5.750,0.0335856,0.0168267,0.8912196,24.808,8.575,14.464,10.746,-1.098,-0.920,-0.850,-0.836,11.155,-0.967,8.499,-5.762,9.838,-0.651,5,-0.806,2,39.262,0.000,22.915,133.033,7,0,0,0,0,0,19,1,0.057
"Molecule  1727",0,1,0,1,1,10,1,-2,274.316,4.457,568.742,378.831,189.911,0.000,0.000,963.710,2.250,5.750,0.0206090,0.0151651,0.8296229,25.993,8.940,14.610,10.699,-1.045,-1.713,-0.850,-1.833,6.715,-1.480,4.743,-6.122,9.835,-0.403,5,-0.788,2,35.627,0.000,21.162,137.874,7,0,0,0,0,0,19,1,0.004
"Molecule  1728",0,1,0,1,1,11,1,-2,288.343,4.503,594.212,396.179,198.033,0.000,0.000,1019.548,2.250,5.750,0.0198886,0.0145150,0.8244465,27.585,9.540,15.159,11.024,-0.766,-1.776,-1.111,-1.917,5.057,-1.643,3.915,-6.176,9.841,-0.430,5,-0.696,2,35.058,0.000,26.959,136.146,7,0,0,0,0,0,20,1,0.003
"Molecule  1729",0,1,0,1,1,7,0,-1,250.297,4.223,505.073,168.784,157.621,178.668,0.000,868.875,3.000,4.500,0.0205253,0.0154319,0.8718647,25.830,9.373,15.309,12.061,-0.836,-1.379,-1.118,-2.002,13.620,-0.842,10.162,-5.186,9.683,-0.051,5,-0.729,2,42.353,0.000,21.041,105.719,5,0,6,0,6,0,18,1,0.068
"Molecule  1730",0,1,0,1,1,7,0,-2,264.324,6.516,532.949,225.809,175.142,131.997,0.000,915.989,3.000,4.500,0.0463590,0.0146247,0.8558676,27.270,9.554,16.142,11.727,-0.740,-1.917,-1.375,-2.038,9.769,-1.054,6.720,-5.673,9.466,-0.112,6,-0.627,2,40.329,0.000,18.301,105.865,5,0,6,0,6,0,19,1,0.007
"Molecule  1731",0,1,0,1,1,8,0,-1,266.296,4.272,501.296,139.749,158.511,203.036,0.000,875.458,3.000,5.250,0.0208446,0.0181395,0.8828656,25.684,9.676,15.711,13.142,-1.015,-0.844,-1.183,-1.940,12.099,-0.876,9.951,-5.020,9.136,-0.224,5,-0.835,2,40.379,0.000,26.444,110.183,6,0,6,0,6,0,19,1,0.364
"Molecule  1732",1,1,0,1,1,12,2,-2,333.341,6.551,637.922,339.458,298.464,0.000,0.000,1102.118,3.250,9.250,0.0389361,0.0261406,0.8088775,30.248,11.273,20.122,16.545,-2.411,-1.351,-0.731,-2.169,0.558,-2.802,0.366,-7.931,9.998,-0.529,5,-1.116,1,8.299,0.000,27.524,194.435,10,0,0,0,0,0,23,1,0.000
"Molecule  1733",1,1,0,1,1,11,2,-2,319.314,2.522,579.043,306.296,272.747,0.000,0.000,1017.607,3.250,9.250,0.0062480,0.0287987,0.8449694,27.508,10.321,18.730,16.449,-2.667,-0.664,-0.487,-1.585,0.979,-2.248,0.671,-7.553,9.903,-0.495,5,-1.203,1,11.168,0.000,27.523,190.607,10,0,0,0,0,0,22,1,0.002
"Molecule  1734",1,1,0,1,1,9,2,-2,304.299,4.103,554.801,325.705,229.097,0.000,0.000,967.598,2.250,7.750,0.0174024,0.0209534,0.8527552,26.790,9.326,16.231,12.314,-2.008,-1.505,-0.725,-1.459,3.486,-1.681,1.881,-6.940,10.010,-0.541,6,-1.018,2,24.893,0.000,10.244,166.553,9,0,0,0,0,0,21,1,0.001
"Molecule  1735",0,1,0,1,1,10,1,-2,276.289,1.480,557.139,312.385,244.754,0.000,0.000,932.705,2.250,6.450,0.0023481,0.0173655,0.8286370,24.752,9.012,14.566,11.677,-1.870,-1.372,-0.655,-1.849,2.056,-2.017,1.300,-7.133,9.964,-0.502,6,-0.970,1,21.595,0.000,20.407,159.981,8,0,0,0,0,0,19,1,0.001
"Molecule  1736",1,1,0,1,1,8,1,-2,232.236,5.400,474.559,266.982,207.577,0.000,0.000,786.631,3.000,6.500,0.0370743,0.0237238,0.8684052,20.190,7.621,14.540,13.131,-2.533,-0.299,0.128,-1.206,4.280,-1.355,3.126,-6.640,9.835,-0.559,5,-1.185,2,23.414,0.000,24.686,140.373,7,0,0,0,0,0,16,1,0.027
"Molecule  1737",0,1,0,1,1,7,0,-2,268.287,4.771,533.155,155.613,181.454,149.749,46.338,894.204,3.000,4.500,0.0254543,0.0146191,0.8419173,26.567,9.149,15.852,12.483,-0.728,-1.865,-1.449,-2.348,7.380,-1.053,10.388,-5.727,9.623,0.070,5,-0.690,2,38.217,46.338,26.079,108.609,5,0,6,0,6,0,19,1,0.007
"Molecule  1738",0,1,0,1,1,9,1,-2,278.323,1.256,525.544,311.674,178.911,0.000,34.958,897.033,2.250,6.250,0.0017585,0.0178387,0.8559112,23.966,8.539,14.135,11.631,-1.396,-1.043,-0.759,-1.408,7.759,-1.123,9.556,-6.015,9.132,-0.048,5,-0.957,2,34.699,0.000,26.378,132.433,7,0,0,0,0,0,18,1,0.024
"Molecule  1739",0,1,0,1,1,10,1,-2,292.349,6.126,548.273,320.260,199.808,0.000,28.205,953.674,2.250,6.250,0.0393535,0.0170991,0.8546100,25.591,9.190,15.266,11.981,-1.229,-1.039,-1.017,-1.429,4.479,-1.395,5.359,-6.304,9.514,0.167,5,-0.867,2,31.403,0.000,31.457,135.687,7,0,0,0,0,0,19,1,0.013
"Molecule  1740",0,1,0,1,1,9,1,-2,292.349,1.255,566.116,331.558,202.298,0.000,32.260,966.107,2.250,6.250,0.0016308,0.0165602,0.8348524,26.731,9.293,15.152,11.755,-1.174,-1.731,-1.017,-1.749,4.811,-1.436,5.318,-6.446,9.130,-0.069,5,-0.812,2,32.283,0.000,24.590,141.876,7,0,0,0,0,0,19,1,0.002
"Molecule  1741",0,1,0,1,1,9,1,-2,306.376,4.099,553.817,339.477,193.160,0.000,21.179,981.371,2.250,6.250,0.0171170,0.0169280,0.8623587,27.342,9.390,15.571,11.805,-1.037,-1.421,-1.279,-1.303,5.666,-1.260,5.738,-6.278,9.293,0.077,5,-0.751,2,34.355,0.000,26.559,137.771,7,0,0,0,0,0,20,1,0.006
"Molecule  1742",0,1,0,1,1,9,1,-2,290.316,2.143,542.096,369.912,172.184,0.000,0.000,963.150,2.250,6.500,0.0047692,0.0179857,0.8700642,26.612,8.950,15.091,11.934,-1.166,-1.054,-0.895,-1.179,8.821,-1.097,7.206,-5.891,9.880,-0.475,6,-0.825,2,37.039,0.000,27.393,139.869,8,0,0,0,0,0,20,1,0.033
"Molecule  1743",0,1,0,1,1,9,1,-2,310.306,4.524,575.282,187.079,251.193,137.010,0.000,993.721,3.250,6.500,0.0205963,0.0203692,0.8371325,29.144,10.882,18.164,14.552,-1.547,-1.697,-1.575,-2.365,1.734,-1.970,1.117,-6.865,9.339,0.004,7,-0.818,1,22.161,0.000,22.032,162.407,8,0,6,0,6,0,22,2,0.001
"Molecule  1744",1,1,0,1,1,9,2,-2,290.272,5.550,561.213,302.977,258.236,0.000,0.000,947.345,2.250,7.750,0.0325153,0.0207140,0.8312070,25.980,9.262,16.223,14.092,-2.353,-0.902,-0.473,-1.807,1.252,-2.072,0.946,-7.477,10.032,-0.296,6,-1.087,1,14.918,0.000,31.385,176.066,9,0,0,0,0,0,20,1,0.001
"Molecule  1745",1,1,0,1,1,7,1,-2,218.209,5.306,441.258,211.434,229.824,0.000,0.000,728.536,3.000,6.500,0.0386454,0.0255142,0.8873743,18.507,7.312,14.156,13.547,-2.987,0.046,0.349,-0.899,2.554,-1.406,1.849,-7.146,9.787,-0.239,4,-1.233,1,16.744,0.000,26.356,143.271,7,0,0,0,0,0,15,1,0.017
"Molecule  1746",1,1,0,1,1,8,1,-2,232.236,3.933,503.870,273.838,230.032,0.000,0.000,812.066,3.000,6.500,0.0190486,0.0223437,0.8354250,21.208,7.862,14.670,13.263,-2.584,-0.757,0.128,-1.739,2.681,-1.717,1.840,-7.054,9.686,-0.850,5,-1.171,1,19.482,0.000,23.451,143.414,7,0,0,0,0,0,16,1,0.004
"Molecule  1747",1,1,0,1,1,9,1,-2,246.263,5.062,503.497,283.158,220.339,0.000,0.000,841.482,3.000,6.500,0.0304477,0.0223603,0.8561135,21.743,8.199,14.997,12.803,-2.324,-0.666,-0.103,-1.404,3.458,-1.585,2.313,-6.779,9.989,-0.711,5,-1.127,2,22.980,0.000,21.118,141.382,7,0,0,0,0,0,17,1,0.009
"Molecule  1748",0,1,0,1,1,7,0,-1,240.258,5.828,451.639,185.774,148.348,117.518,0.000,775.654,3.000,5.000,0.0437828,0.0191752,0.9039660,21.515,8.163,14.306,12.282,-1.529,-0.329,-0.733,-1.191,15.347,-0.670,12.648,-5.230,8.955,-0.713,6,-0.970,2,39.222,0.000,25.578,111.892,6,0,5,0,5,0,17,1,0.664
"Molecule  1749",1,1,0,1,1,8,1,-2,246.263,6.254,514.189,310.672,203.516,0.000,0.000,859.521,3.000,6.500,0.0454992,0.0218953,0.8502504,23.107,8.234,15.617,13.574,-2.111,-0.700,-0.103,-1.499,4.262,-1.397,3.440,-6.565,9.832,-0.651,5,-1.053,2,25.855,0.000,29.752,139.823,7,0,0,0,0,0,17,1,0.013
"Molecule  1750",1,1,0,1,1,8,2,-2,244.247,4.123,499.318,271.886,227.432,0.000,0.000,824.378,3.000,6.500,0.0206213,0.0225474,0.8515416,21.701,8.051,14.900,13.486,-2.477,-0.579,0.125,-1.478,2.666,-1.611,1.956,-7.006,9.953,-0.370,4,-1.126,1,20.067,0.000,26.853,142.734,7,0,3,3,0,3,17,1,0.006
"Molecule  1751",1,1,0,1,1,8,1,-2,258.274,5.766,517.089,294.826,222.263,0.000,0.000,867.729,3.000,6.500,0.0383153,0.0217725,0.8508557,23.436,8.452,15.730,12.907,-2.192,-1.101,-0.046,-1.490,3.452,-1.567,2.210,-6.910,9.788,-0.783,5,-1.034,2,23.738,0.000,18.922,142.377,7,0,4,4,0,4,18,1,0.003
"Molecule  1752",0,1,0,1,1,9,1,-2,260.289,4.606,504.454,321.079,183.375,0.000,0.000,871.836,3.000,6.500,0.0243315,0.0223178,0.8749156,22.958,8.340,15.216,11.838,-1.872,-1.001,-0.340,-1.100,9.255,-1.177,5.534,-6.098,9.928,-0.576,5,-1.041,2,33.279,0.000,11.440,132.000,7,0,0,0,0,0,18,1,0.021
"Molecule  1753",1,1,0,1,1,7,1,-2,232.236,3.916,467.546,251.880,215.666,0.000,0.000,782.341,3.000,6.500,0.0196030,0.0240796,0.8782232,20.661,7.697,14.564,13.640,-2.601,-0.253,0.128,-1.047,3.372,-1.324,2.582,-6.885,9.755,-0.342,4,-1.140,2,21.161,0.000,28.057,140.733,7,0,0,0,0,0,16,1,0.017
"Molecule  1754",1,1,0,1,1,8,1,-2,246.263,3.417,519.026,306.915,212.111,0.000,0.000,856.033,3.000,6.500,0.0136416,0.0216912,0.8400451,22.968,8.213,15.143,12.940,-2.202,-1.086,-0.103,-1.664,4.206,-1.524,2.808,-6.723,9.770,-0.846,5,-1.072,2,25.218,0.000,20.237,139.299,7,0,0,0,0,0,17,1,0.004
"Molecule  1755",1,1,0,1,1,8,1,-2,244.247,4.548,478.409,213.283,217.717,47.410,0.000,813.659,3.000,6.500,0.0254255,0.0235328,0.8810360,21.725,8.378,15.084,13.752,-2.380,-0.255,-0.069,-1.227,3.249,-1.390,2.460,-6.660,9.684,0.197,4,-1.115,2,22.167,0.000,27.651,138.605,7,0,0,0,0,0,17,1,0.030
"Molecule  1756",0,1,0,1,1,9,1,-2,260.289,5.093,528.247,346.589,181.658,0.000,0.000,893.985,3.000,6.500,0.0290183,0.0213126,0.8496005,23.844,8.424,15.512,12.939,-1.760,-0.879,-0.340,-1.510,7.399,-1.258,5.762,-6.066,9.646,-0.591,5,-1.020,2,32.194,0.000,25.699,129.747,7,0,0,0,0,0,18,1,0.030
"Molecule  1757",0,1,0,1,1,8,1,-2,260.289,8.566,536.926,325.748,211.178,0.000,0.000,905.271,3.000,6.500,0.0810615,0.0209681,0.8428873,24.938,8.718,16.770,13.066,-1.906,-1.313,-0.340,-1.619,4.198,-1.502,2.871,-6.706,9.979,-0.729,5,-0.960,2,26.934,0.000,21.446,137.773,7,0,0,0,0,0,18,1,0.002
"Molecule  1758",1,1,0,1,1,8,1,-2,258.274,2.196,519.240,264.309,217.430,37.501,0.000,878.805,3.000,6.500,0.0054899,0.0216823,0.8545258,24.237,8.811,15.611,13.777,-2.047,-0.845,-0.305,-1.609,3.272,-1.505,2.477,-6.689,9.835,0.201,5,-1.006,2,24.175,0.000,27.602,139.406,7,0,0,0,0,0,18,1,0.008
"Molecule  1759",0,1,0,1,1,7,0,-1,256.344,3.225,485.549,333.313,152.236,0.000,0.000,872.351,3.000,4.500,0.0119234,0.0160524,0.9093396,24.263,8.331,14.430,10.528,-0.957,-1.176,-0.839,-0.543,16.237,-0.687,11.539,-5.716,9.593,-0.330,4,-0.692,2,43.006,0.000,17.869,102.994,5,0,6,0,6,6,18,1,0.033
"Molecule  1760",1,1,0,1,1,8,2,-2,258.274,2.493,499.671,297.039,202.632,0.000,0.000,861.072,3.000,6.500,0.0072179,0.0225315,0.8760066,23.169,8.376,15.185,13.371,-2.066,-0.560,-0.111,-1.083,4.523,-1.281,3.513,-6.549,9.779,-0.260,4,-1.021,2,26.577,0.000,27.568,138.151,7,0,3,3,0,3,18,1,0.020
"Molecule  1761",0,1,0,1,1,10,1,-2,274.316,5.036,511.891,308.071,203.819,0.000,0.000,916.066,3.000,6.500,0.0276815,0.0219936,0.8911259,24.086,8.999,15.783,12.939,-1.740,-0.425,-0.584,-0.838,4.439,-1.352,3.415,-6.378,9.698,-0.267,5,-0.969,2,28.344,0.000,27.176,135.720,7,0,0,0,0,0,19,1,0.043
"Molecule  1762",0,1,0,1,1,9,1,-2,274.316,5.645,547.313,360.644,186.668,0.000,0.000,943.494,3.000,6.500,0.0337801,0.0205702,0.8500069,25.826,8.952,16.308,12.590,-1.505,-1.358,-0.584,-1.503,7.376,-1.303,5.120,-6.158,9.603,-0.706,5,-0.909,2,33.665,0.000,19.900,133.466,7,0,0,0,0,0,19,1,0.008
"Molecule  1763",0,1,0,1,1,9,1,-2,274.316,7.724,542.910,333.653,209.258,0.000,0.000,939.497,3.000,6.500,0.0634962,0.0207370,0.8544774,25.666,9.089,16.785,13.012,-1.680,-1.166,-0.584,-1.431,4.203,-1.491,3.004,-6.575,9.960,-0.782,5,-0.913,2,28.268,0.000,23.675,137.895,7,0,0,0,0,0,19,1,0.005
"Molecule  1764",0,1,0,1,1,8,0,-2,274.316,1.141,558.255,351.388,206.867,0.000,0.000,953.059,3.000,6.500,0.0013661,0.0201670,0.8389686,26.851,9.151,16.322,13.342,-1.600,-1.523,-0.584,-1.682,4.332,-1.480,3.178,-6.627,9.752,-0.548,4,-0.856,2,28.970,0.000,24.875,136.734,7,0,0,0,0,0,19,1,0.002
"Molecule  1765",0,1,0,1,1,8,2,-2,272.300,5.315,537.329,312.785,224.545,0.000,0.000,916.172,3.000,6.500,0.0308350,0.0209524,0.8490029,25.374,8.945,16.322,13.596,-1.929,-1.123,-0.354,-1.520,2.813,-1.597,2.094,-6.952,9.954,-0.379,4,-0.929,1,23.693,0.000,27.365,138.139,7,0,3,3,0,3,19,1,0.002
"Molecule  1766",0,1,0,1,1,8,1,-2,272.300,4.672,532.864,328.693,204.172,0.000,0.000,913.418,3.000,6.500,0.0238945,0.0211279,0.8544001,25.264,8.797,16.103,13.256,-1.798,-1.141,-0.289,-1.432,4.602,-1.385,3.387,-6.577,9.640,-0.334,5,-0.930,2,28.285,0.000,24.783,136.859,7,0,4,4,0,4,19,1,0.005
"Molecule  1767",0,1,0,1,1,10,1,-2,288.343,6.222,548.240,337.745,210.495,0.000,0.000,973.767,3.000,6.500,0.0397530,0.0205354,0.8666241,26.395,9.477,16.735,12.866,-1.474,-1.060,-0.832,-1.234,4.037,-1.509,2.918,-6.501,9.879,-0.872,5,-0.865,2,29.161,0.000,24.402,137.255,7,0,0,0,0,0,20,1,0.008
"Molecule  1768",1,1,0,1,1,8,1,-2,286.327,5.132,577.278,380.713,196.565,0.000,0.000,982.824,3.000,6.500,0.0267967,0.0195024,0.8281272,28.042,9.344,17.007,12.681,-1.364,-2.102,-0.537,-1.857,6.352,-1.431,4.053,-6.437,9.649,-0.944,5,-0.799,2,33.326,0.000,16.268,135.414,7,0,4,4,0,4,20,1,0.001
"Molecule  1769",0,1,0,1,1,8,1,-2,286.327,6.023,556.488,373.451,183.036,0.000,0.000,958.292,3.000,6.500,0.0378533,0.0202310,0.8447104,27.060,9.053,16.798,13.214,-1.398,-1.479,-0.772,-1.589,7.219,-1.230,5.578,-6.187,9.584,-0.752,5,-0.838,2,34.122,0.000,25.397,134.054,7,0,5,0,5,5,20,1,0.006
"Molecule  1770",0,1,0,1,1,8,0,-2,216.280,3.590,484.759,316.354,168.405,0.000,0.000,804.227,3.000,4.500,0.0160228,0.0160785,0.8627624,20.894,7.490,13.211,10.745,-1.513,-0.853,-0.156,-1.297,10.511,-1.028,7.879,-5.918,9.773,-0.815,4,-0.931,2,36.375,0.000,22.331,105.389,5,0,0,0,0,0,15,1,0.037
"Molecule  1771",1,1,0,1,1,9,1,-2,248.235,1.668,464.367,206.697,257.670,0.000,0.000,792.701,4.000,8.200,0.0035094,0.0353169,0.8920238,19.791,8.416,16.590,16.561,-3.454,0.277,0.351,-0.823,1.366,-1.739,0.958,-7.467,10.065,-0.278,5,-1.346,1,9.146,0.000,27.318,163.683,8,0,0,0,0,0,17,1,0.016
"Molecule  1772",2,1,0,1,1,10,1,-2,262.262,4.084,441.357,247.993,193.364,0.000,0.000,798.191,4.000,8.200,0.0208969,0.0371581,0.9428573,19.369,8.399,16.454,15.779,-2.891,0.661,0.140,-0.001,5.658,-1.091,4.371,-6.186,9.772,-0.612,6,-1.293,2,23.486,0.000,26.393,151.210,8,0,0,0,0,0,18,1,0.784
"Molecule  1773",1,1,0,1,1,10,2,-2,274.273,2.443,541.372,287.253,254.120,0.000,0.000,905.238,4.000,8.200,0.0065928,0.0302934,0.8359446,23.653,9.222,17.794,16.127,-2.918,-0.685,0.146,-1.731,1.620,-2.065,1.042,-7.305,9.977,-0.500,5,-1.280,1,13.607,0.000,22.260,159.568,8,0,3,3,0,3,19,1,0.003
"Molecule  1774",1,1,0,1,1,10,1,-2,276.289,1.330,530.769,301.321,229.448,0.000,0.000,914.076,4.000,8.200,0.0019347,0.0308985,0.8581844,24.006,9.225,17.803,15.903,-2.663,-0.558,-0.080,-1.371,2.797,-1.718,1.865,-6.851,10.066,-0.662,6,-1.228,1,19.349,0.000,21.843,155.286,8,0,0,0,0,0,19,1,0.011
"Molecule  1775",1,1,0,1,1,11,1,-2,276.289,5.580,529.674,299.029,230.645,0.000,0.000,914.455,4.000,8.200,0.0340518,0.0309624,0.8601971,23.379,9.246,18.003,15.675,-2.666,-0.387,-0.080,-1.338,2.734,-1.779,1.813,-6.777,9.823,-0.564,6,-1.267,1,19.153,0.000,21.667,158.161,8,0,0,0,0,0,19,1,0.019
"Molecule  1776",1,1,0,1,1,10,1,-2,288.300,5.067,534.668,287.980,246.688,0.000,0.000,928.944,4.000,8.200,0.0276386,0.0306733,0.8611406,24.601,9.505,18.462,16.360,-2.695,-0.462,-0.016,-1.323,1.769,-1.858,1.242,-7.168,10.005,-0.510,6,-1.195,1,15.598,0.000,26.304,159.522,8,0,4,4,0,4,20,1,0.007
"Molecule  1777",1,1,0,1,1,11,1,-2,290.316,3.976,545.371,303.317,242.054,0.000,0.000,959.753,4.000,8.200,0.0164747,0.0300713,0.8628048,25.192,9.777,18.473,16.151,-2.489,-0.434,-0.308,-1.296,1.948,-1.869,1.385,-6.987,9.820,-0.375,6,-1.174,1,17.558,0.000,26.548,159.184,8,0,0,0,0,0,20,1,0.011
"Molecule  1778",1,1,0,1,1,11,1,-2,290.316,6.482,553.910,311.039,242.871,0.000,0.000,960.592,4.000,8.200,0.0437373,0.0296077,0.8499998,25.226,9.743,18.822,15.882,-2.509,-0.681,-0.308,-1.503,2.059,-1.942,1.359,-7.002,10.044,-0.626,6,-1.192,1,17.867,0.000,22.557,159.207,8,0,0,0,0,0,20,1,0.006
"Molecule  1779",1,1,0,1,1,10,1,-2,302.327,1.262,590.152,332.543,257.609,0.000,0.000,1002.360,4.000,8.200,0.0015887,0.0277895,0.8207620,27.539,10.181,19.071,16.242,-2.420,-1.371,-0.484,-1.977,1.511,-2.190,0.960,-7.370,10.017,-0.476,6,-1.107,1,15.985,0.000,21.899,159.975,8,0,5,0,5,5,21,1,0.001
"Molecule  1780",1,1,0,1,1,8,1,-2,246.263,5.305,458.379,248.726,209.653,0.000,0.000,801.989,3.000,6.500,0.0350947,0.0245612,0.9107224,20.805,8.074,14.852,13.269,-2.410,-0.003,-0.103,-0.521,3.929,-1.205,2.976,-6.678,9.656,-0.262,4,-1.104,2,23.469,0.000,26.879,137.406,7,0,0,0,0,0,17,1,0.051
"Molecule  1781",4,1,0,1,1,4,0,-2,132.119,6.411,303.467,58.797,244.670,0.000,0.000,453.275,4.000,4.500,0.0906800,0.0296573,0.9403629,9.418,5.207,12.326,14.726,-4.027,1.669,1.050,-0.041,1.354,-1.124,1.302,-7.707,9.822,-0.084,5,-1.375,1,5.719,0.000,43.288,122.097,5,0,0,0,0,0,9,1,0.121
"Molecule  1782",0,1,0,1,1,8,1,-2,294.307,5.780,547.257,169.948,195.076,182.232,0.000,949.501,2.250,5.750,0.0351824,0.0157604,0.8536979,28.449,10.198,16.134,12.017,-0.934,-1.846,-1.582,-2.313,6.535,-1.305,4.198,-5.767,9.605,-0.203,6,-0.718,2,36.068,0.000,16.488,134.936,7,0,6,0,6,0,21,1,0.007
"Molecule  1783",4,1,0,0,0,2,26,0,457.454,7.721,580.826,246.764,188.971,143.282,1.808,1043.300,2.000,17.200,0.0571377,0.0418791,0.8564960,35.683,10.746,24.937,25.307,-2.677,1.236,0.147,-5.264,1.588,-0.872,17.209,-6.368,6.691,1.545,2,-1.592,1,0.000,0.000,0.000,130.543,12,2,31,26,5,17,31,1,3.377
"Molecule  1784",0,1,0,1,1,7,2,-2,370.402,10.122,611.818,393.761,218.057,0.000,0.000,1140.435,2.000,7.500,0.0898307,0.0173362,0.8628262,34.991,10.842,19.699,13.530,-0.768,-2.188,-2.028,-1.296,3.196,-1.413,2.441,-6.929,10.058,-0.276,4,-0.475,2,31.478,0.000,28.143,168.524,9,0,7,0,7,7,26,1,0.000
"Molecule  1785",2,0,0,0,0,14,2,-2,596.714,1.214,848.241,495.889,212.223,140.129,0.000,1697.720,6.000,17.500,0.0008685,0.0505353,0.8113780,54.138,17.671,36.389,27.094,0.986,-3.491,-4.607,-5.252,96.248,-2.429,39.402,-3.593,9.161,-0.624,11,-0.646,1,29.343,0.000,0.000,156.674,11,3,27,0,27,18,42,1,0.049
"Molecule  1786",0,0,0,1,0,7,0,-2,322.366,10.957,643.356,157.065,195.811,290.480,0.000,1094.934,2.250,4.750,0.1096465,0.0110747,0.7985568,35.945,12.301,19.289,11.005,3.442,-5.986,-5.514,-4.369,34.884,-1.906,16.732,-3.433,9.210,0.493,3,0.132,2,74.711,0.000,0.000,114.248,6,0,12,0,12,0,24,1,0.000
