molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"Molecule   670",0,0,0,0,0,7,0,-1,259.347,8.197,555.441,275.619,98.263,181.560,0.000,944.639,2.000,3.250,0.0711269,0.0082748,0.8382447,28.890,9.352,14.569,7.546,3.145,-3.801,-3.695,-5.015,1158.974,-0.791,580.238,-2.019,8.131,0.356,4,0.183,3,100.000,0.000,0.000,61.247,3,0,10,0,10,0,19,0,0.295
"Molecule   671",2,0,0,0,0,4,0,-2,283.301,13.505,504.870,215.320,194.863,94.687,0.000,858.664,0.000,6.500,0.2124125,0.0000000,0.8653681,26.546,8.226,15.036,8.424,0.494,-1.730,-2.549,-4.162,140.609,-1.412,59.354,-4.393,10.349,2.951,1,-0.798,3,68.282,0.000,0.000,103.216,7,0,9,0,9,1,19,0,0.213
"Molecule   672",0,0,0,0,0,2,0,0,170.229,5.967,360.789,161.455,91.888,26.377,81.068,574.579,2.000,3.000,0.0619649,0.0117593,0.9264282,15.808,5.610,10.183,6.863,0.670,-2.108,-1.856,-2.848,1332.069,-0.072,1875.168,-2.928,9.087,1.320,1,-0.461,3,86.789,0.000,0.000,63.746,3,0,6,0,6,0,11,0,2.628
"Molecule   673",2,0,0,0,0,18,0,-2,284.438,4.755,645.271,488.489,97.296,59.486,0.000,1115.621,3.500,5.100,0.0202663,0.0147864,0.8061835,27.503,10.464,15.918,8.517,3.092,-2.917,-2.850,-4.952,1183.706,-1.519,593.633,-1.375,10.472,-1.942,4,-0.277,1,100.000,0.000,0.000,55.335,3,0,0,0,0,0,20,0,14.531
"Molecule   674",4,0,0,0,0,1,0,0,104.170,7.116,305.261,144.683,79.806,0.000,80.772,431.183,3.000,2.500,0.1174486,0.0141850,0.9042070,10.460,3.707,10.150,7.661,0.373,-1.095,-0.527,-3.082,1734.195,0.051,2484.592,-2.894,8.551,0.322,1,-0.781,3,87.102,0.000,0.000,45.837,2,0,0,0,0,0,6,0,10.669
"Molecule   675",1,1,0,0,0,6,3,0,350.863,12.420,692.382,471.436,129.388,65.294,26.264,1140.417,2.000,6.250,0.1352724,0.0127658,0.7624218,36.256,10.894,19.519,10.481,2.412,-4.456,-2.699,-6.414,146.491,-0.819,95.597,-5.161,7.817,1.141,3,0.186,3,79.833,0.000,0.000,81.795,7,0,11,7,4,5,22,0,0.000
"Molecule   676",3,0,0,0,0,1,0,1,129.176,7.722,313.107,141.909,42.492,45.918,82.788,469.601,1.000,3.000,0.1269682,0.0095814,0.9331641,12.436,4.108,8.278,5.302,1.113,-1.333,-0.959,-2.832,3916.954,0.381,6148.545,-2.045,8.852,0.699,1,-0.633,3,100.000,0.000,0.000,35.805,2,0,5,0,5,2,8,0,53.990
"Molecule   677",0,0,0,0,0,9,1,-2,482.613,4.544,736.322,511.843,224.480,0.000,0.000,1416.224,5.000,12.950,0.0145782,0.0393266,0.8282949,44.744,14.039,29.328,21.111,0.919,-3.848,-3.780,-4.310,73.648,-2.160,29.504,-4.793,10.308,-0.799,6,-0.335,3,65.747,0.000,0.000,140.548,8,0,22,0,22,20,34,0,0.001
"Molecule   678",1,0,0,0,0,13,1,-2,246.346,5.366,576.374,447.422,128.952,0.000,0.000,972.136,2.000,5.400,0.0296248,0.0132496,0.8234024,24.404,8.522,13.202,7.364,2.103,-2.717,-2.148,-4.390,592.990,-1.488,281.217,-2.648,11.057,-0.879,3,-0.351,3,88.891,0.000,0.000,77.247,4,0,0,0,0,0,17,0,1.063
"Molecule   679",1,0,0,0,0,2,0,0,225.262,11.047,447.861,172.445,94.188,181.150,0.078,724.515,0.000,5.000,0.1684339,0.0000000,0.8710699,23.287,6.793,12.184,7.154,1.159,-1.767,-2.012,-4.482,1266.822,-0.384,639.445,-2.425,10.043,2.166,1,-0.701,3,89.263,0.000,0.000,59.874,4,0,9,0,9,1,15,0,14.674
